한명묵20,정용주20,최아영40,민연아60,강상우20,이주형40,노웅기30,최재영30,정옥란20,황효석20,이상웅10,유 준30,최재혁10,조정찬10,김 원20,최기호20,정윤현20,민 홍30,오영민30,차영운10,김철연50,전영철20
한명묵20,정용주20,최아영20,민연아20,강상우20,이주형30,노웅기30,최재영20,정옥란20,황효석30,이상웅20,유 준20,최재혁20,조정찬20,김 원20,최기호10,정윤현20,민 홍10,오영민20,차영운20,김철연20,전영철20
한명묵20,정용주20,최아영20,민연아20,강상우20,이주형30,노웅기30,최재영20,정옥란20,황효석20,이상웅20,유 준20,최재혁20,조정찬20,김 원20,최기호10,정윤현10,민 홍20,오영민20,차영운20,김철연20,전영철20
한명묵20,정용주20,최아영30,민연아20,강상우20,이주형10,노웅기20,최재영20,정옥란10,황효석40,이상웅20,유 준10,최재혁30,조정찬30,김 원20,최기호30,정윤현10,민 홍20,오영민20,차영운20,김철연20,전영철0
한명묵20,정용주20,최아영30,민연아20,강상우30,이주형30,노웅기30,최재영30,정옥란20,황효석50,이상웅30,유 준20,최재혁30,조정찬40,김 원30,최기호20,정윤현20,민 홍20,오영민20,차영운30,김철연30,전영철20
한명묵10,정용주10,최아영10,민연아0,강상우20,이주형20,노웅기20,최재영10,정옥란10,황효석40,이상웅20,유 준10,최재혁20,조정찬20,김 원10,최기호10,정윤현10,민 홍10,오영민10,차영운20,김철연10,전영철10
한명묵20,정용주20,최아영50,민연아30,강상우30,이주형50,노웅기0,최재영30,정옥란0,황효석30,이상웅10,유 준30,최재혁-10,조정찬20,김 원20,최기호20,정윤현10,민 홍30,오영민30,차영운20,김철연50,전영철30
한명묵20,정용주20,최아영30,민연아50,강상우20,이주형50,노웅기30,최재영20,정옥란20,황효석10,이상웅20,유 준40,최재혁10,조정찬10,김 원20,최기호10,정윤현20,민 홍30,오영민30,차영운20,김철연50,전영철30
한명묵20,정용주20,최아영10,민연아20,강상우20,이주형20,노웅기30,최재영20,정옥란20,황효석30,이상웅20,유 준10,최재혁30,조정찬30,김 원20,최기호10,정윤현10,민 홍10,오영민10,차영운20,김철연10,전영철10
한명묵20,정용주20,최아영30,민연아70,강상우20,이주형60,노웅기50,최재영20,정옥란30,황효석0,이상웅20,유 준40,최재혁10,조정찬0,김 원20,최기호10,정윤현20,민 홍30,오영민30,차영운10,김철연50,전영철30
한명묵30,정용주30,최아영20,민연아-10,강상우50,이주형60,노웅기20,최재영20,정옥란30,황효석50,이상웅50,유 준50,최재혁10,조정찬40,김 원30,최기호0,정윤현20,민 홍10,오영민20,차영운50,김철연20,전영철50
한명묵20,정용주20,최아영30,민연아90,강상우10,이주형60,노웅기60,최재영20,정옥란40,황효석-20,이상웅20,유 준50,최재혁20,조정찬0,김 원20,최기호0,정윤현30,민 홍40,오영민40,차영운0,김철연60,전영철30
한명묵20,정용주20,최아영30,민연아30,강상우30,이주형60,노웅기10,최재영20,정옥란20,황효석10,이상웅20,유 준40,최재혁-10,조정찬10,김 원20,최기호0,정윤현20,민 홍20,오영민20,차영운20,김철연50,전영철40
한명묵20,정용주20,최아영30,민연아30,강상우10,이주형20,노웅기30,최재영20,정옥란10,황효석30,이상웅20,유 준10,최재혁30,조정찬20,김 원20,최기호20,정윤현10,민 홍20,오영민20,차영운20,김철연20,전영철0
한명묵10,정용주10,최아영20,민연아20,강상우20,이주형30,노웅기20,최재영20,정옥란20,황효석20,이상웅20,유 준20,최재혁10,조정찬20,김 원10,최기호10,정윤현10,민 홍20,오영민20,차영운20,김철연30,전영철20
한명묵20,정용주20,최아영20,민연아0,강상우30,이주형30,노웅기20,최재영20,정옥란20,황효석40,이상웅30,유 준30,최재혁20,조정찬30,김 원20,최기호10,정윤현10,민 홍10,오영민10,차영운30,김철연20,전영철30
한명묵20,정용주20,최아영30,민연아0,강상우30,이주형20,노웅기10,최재영30,정옥란10,황효석60,이상웅30,유 준10,최재혁30,조정찬40,김 원20,최기호30,정윤현10,민 홍20,오영민20,차영운40,김철연20,전영철20
한명묵10,정용주10,최아영0,민연아20,강상우20,이주형30,노웅기40,최재영10,정옥란30,황효석10,이상웅20,유 준30,최재혁20,조정찬10,김 원10,최기호-10,정윤현20,민 홍10,오영민10,차영운20,김철연20,전영철20
한명묵10,정용주10,최아영30,민연아20,강상우20,이주형30,노웅기10,최재영20,정옥란10,황효석30,이상웅10,유 준10,최재혁10,조정찬20,김 원10,최기호10,정윤현10,민 홍20,오영민20,차영운20,김철연30,전영철10
한명묵20,정용주20,최아영20,민연아40,강상우20,이주형30,노웅기30,최재영20,정옥란20,황효석20,이상웅20,유 준20,최재혁20,조정찬20,김 원20,최기호20,정윤현20,민 홍20,오영민20,차영운10,김철연30,전영철10
한명묵20,정용주20,최아영20,민연아20,강상우30,이주형40,노웅기30,최재영20,정옥란20,황효석30,이상웅30,유 준30,최재혁10,조정찬20,김 원20,최기호0,정윤현20,민 홍10,오영민20,차영운30,김철연20,전영철30
한명묵20,정용주20,최아영30,민연아20,강상우20,이주형10,노웅기30,최재영30,정옥란20,황효석50,이상웅30,유 준10,최재혁40,조정찬40,김 원20,최기호30,정윤현20,민 홍20,오영민20,차영운30,김철연20,전영철10
한명묵20,정용주20,최아영10,민연아20,강상우20,이주형30,노웅기30,최재영20,정옥란20,황효석30,이상웅20,유 준20,최재혁20,조정찬20,김 원20,최기호10,정윤현10,민 홍10,오영민20,차영운20,김철연20,전영철10
